phase,fold,seed,model,target,mae,rmse,wape,smape,mape,bias,mase,rmsse
cv,3,3407,Transformer,orders,1660.8105634562176,2185.237555623564,0.2554611728491503,0.21176404168080462,0.24179671223564483,1588.8963573201497,1.1929475299029129,0.9864425914719359
cv,3,9999,Transformer,carts,3669.3960420735675,5373.867368105627,0.15150341484100743,0.13881375897142698,0.1456407992732016,2208.095782470703,1.0419214601864517,0.9705579346082248
cv,3,9999,Transformer,orders,1940.034449971517,2644.5218426107904,0.2984105995364746,0.23422834974518245,0.2750287470510236,1863.6649284871419,1.3935119127637272,1.193769058616026
cv,3,42,GRU,carts,2160.424493001302,3659.90637846968,0.08920042547680035,0.09486695949237295,0.09836823330079572,762.8852823893229,0.6134504470382707,0.6610046233424607
cv,3,42,GRU,orders,1297.0513227335612,1642.2751647028447,0.19950875761622788,0.18868515563601937,0.21540049651752555,1272.2821471150717,0.9316620484351212,0.741342818866757
cv,3,123,GRU,carts,2119.7277205403648,3654.4384055641613,0.08752012170742166,0.09589372898571709,0.10076490426130152,836.7404695638021,0.6018946378257514,0.6600170692913183
cv,3,123,GRU,orders,1477.6729172770183,1843.1015041093642,0.22729145926760236,0.21892950151291102,0.25464483804866545,1467.5353358968098,1.0614011588423526,0.8319982508906957
cv,3,2026,GRU,carts,2091.162489827474,3557.974160191691,0.08634070963276357,0.09496077937150435,0.09903396773429876,785.816055094401,0.5937835681691441,0.6425949536455335
cv,3,2026,GRU,orders,1432.090620727539,1775.7660757196227,0.22028011962784538,0.20950021602703472,0.24120755102589087,1423.1402732340496,1.0286597437330691,0.8016022262993574
cv,3,3407,GRU,carts,2524.7000646972656,3948.604383971116,0.1042407733766448,0.1094029787659498,0.11435958926960833,882.3336324055989,0.7168861435997222,0.7131454970841514
cv,3,3407,GRU,orders,1332.123865661621,1707.2417882865275,0.20490351674670867,0.1918655990482483,0.22028833589092633,1265.064480082194,0.9568543878710968,0.7706695363955443
cv,3,9999,GRU,carts,2236.0721915690106,3750.177429139979,0.09232379633305561,0.10276920666955029,0.10693980381747209,724.1398689778646,0.6349305379436042,0.6773082048215034
cv,3,9999,GRU,orders,1232.5252055867513,1561.1381576870488,0.18958353319362908,0.1845318615529331,0.20935268542327679,1157.0781729125977,0.885313431826902,0.7047165952056413
